Unnamed: 0,Company Name,Location,Date,Year,Status Rocket,Status Mission
0,SpaceX,USA,Fri Aug 07,2020,StatusActive,Success
1,CASC,China,Thu Aug 06,2020,StatusActive,Success
2,SpaceX,Texas,Tue Aug 04,2020,StatusActive,Success
3,Roscosmos,Kazakhstan,Thu Jul 30,2020,StatusActive,Success
4,ULA,USA,Thu Jul 30,2020,StatusActive,Success
5,CASC,China,Sat Jul 25,2020,StatusActive,Success
6,Roscosmos,Kazakhstan,Thu Jul 23,2020,StatusActive,Success
7,CASC,China,Thu Jul 23,2020,StatusActive,Success
8,SpaceX,USA,Mon Jul 20,2020,StatusActive,Success
9,JAXA,Japan,Sun Jul 19,2020,StatusActive,Success
10,Northrop,Virginia,Wed Jul 15,2020,StatusActive,Success
11,ExPace,China,Fri Jul 10,2020,StatusActive,Failure
12,CASC,China,Thu Jul 09,2020,StatusActive,Success
13,IAI,Israel,Mon Jul 06,2020,StatusActive,Success
14,CASC,China,Sat Jul 04,2020,StatusActive,Success
15,Rocket Lab,New Zealand,Sat Jul 04,2020,StatusActive,Failure
16,CASC,China,Fri Jul 03,2020,StatusActive,Success
17,SpaceX,USA,Tue Jun 30,2020,StatusActive,Success
18,CASC,China,Tue Jun 23,2020,StatusActive,Success
19,CASC,China,Wed Jun 17,2020,StatusActive,Success
20,SpaceX,USA,Sat Jun 13,2020,StatusActive,Success
21,Rocket Lab,New Zealand,Sat Jun 13,2020,StatusActive,Success
22,CASC,China,Wed Jun 10,2020,StatusActive,Success
23,SpaceX,USA,Thu Jun 04,2020,StatusActive,Success
24,CASC,China,Sun May 31,2020,StatusActive,Success
25,SpaceX,USA,Sat May 30,2020,StatusActive,Success
27,Virgin Orbit,California,Mon May 25,2020,StatusActive,Failure
28,VKS RF,Russia,Fri May 22,2020,StatusActive,Success
29,MHI,Japan,Wed May 20,2020,StatusRetired,Success
30,ULA,USA,Sun May 17,2020,StatusActive,Success
31,ExPace,China,Tue May 12,2020,StatusActive,Success
32,CASC,China,Tue May 05,2020,StatusActive,Success
33,Roscosmos,Kazakhstan,Sat Apr 25,2020,StatusActive,Success
34,SpaceX,USA,Wed Apr 22,2020,StatusActive,Success
36,CASC,China,Thu Apr 09,2020,StatusActive,Failure
37,Roscosmos,Kazakhstan,Thu Apr 09,2020,StatusActive,Success
38,ULA,USA,Thu Mar 26,2020,StatusActive,Success
39,CASC,China,Tue Mar 24,2020,StatusActive,Success
40,Arianespace,Kazakhstan,Sat Mar 21,2020,StatusActive,Success
41,SpaceX,USA,Wed Mar 18,2020,StatusActive,Success
42,VKS RF,Russia,Mon Mar 16,2020,StatusActive,Success
43,CASC,China,Mon Mar 16,2020,StatusActive,Failure
44,CASC,China,Mon Mar 09,2020,StatusActive,Success
45,SpaceX,USA,Sat Mar 07,2020,StatusActive,Success
46,VKS RF,Russia,Thu Feb 20,2020,StatusActive,Success
47,CASC,China,Wed Feb 19,2020,StatusActive,Success
48,Arianespace,French Guiana,Tue Feb 18,2020,StatusActive,Success
49,SpaceX,USA,Mon Feb 17,2020,StatusActive,Success
50,Northrop,Virginia,Sat Feb 15,2020,StatusActive,Success
51,ULA,USA,Mon Feb 10,2020,StatusActive,Success
52,ISA,Iran,Sun Feb 09,2020,StatusActive,Failure
53,MHI,Japan,Sun Feb 09,2020,StatusActive,Success
54,Arianespace,Kazakhstan,Thu Feb 06,2020,StatusActive,Success
55,Rocket Lab,New Zealand,Fri Jan 31,2020,StatusActive,Success
56,SpaceX,USA,Wed Jan 29,2020,StatusActive,Success
57,SpaceX,USA,Sun Jan 19,2020,StatusActive,Success
58,Arianespace,French Guiana,Thu Jan 16,2020,StatusActive,Success
59,ExPace,China,Thu Jan 16,2020,StatusActive,Success
60,CASC,China,Wed Jan 15,2020,StatusActive,Success
61,CASC,China,Tue Jan 07,2020,StatusActive,Success
62,SpaceX,USA,Tue Jan 07,2020,StatusActive,Success
63,CASC,China,Fri Dec 27,2019,StatusActive,Success
64,VKS RF,Russia,Thu Dec 26,2019,StatusRetired,Success
65,Roscosmos,Kazakhstan,Tue Dec 24,2019,StatusActive,Success
66,ULA,USA,Fri Dec 20,2019,StatusActive,Success
67,CASC,China,Fri Dec 20,2019,StatusActive,Success
68,Arianespace,French Guiana,Wed Dec 18,2019,StatusActive,Success
69,SpaceX,USA,Tue Dec 17,2019,StatusActive,Success
70,CASC,China,Mon Dec 16,2019,StatusActive,Success
71,Blue Origin,Texas,Wed Dec 11,2019,StatusActive,Success
72,ISRO,India,Wed Dec 11,2019,StatusActive,Success
73,VKS RF,Russia,Wed Dec 11,2019,StatusActive,Success
74,ExPace,China,Sat Dec 07,2019,StatusActive,Success
76,Roscosmos,Kazakhstan,Fri Dec 06,2019,StatusActive,Success
77,Rocket Lab,New Zealand,Fri Dec 06,2019,StatusActive,Success
78,SpaceX,USA,Thu Dec 05,2019,StatusActive,Success
79,CASC,China,Wed Nov 27,2019,StatusActive,Success
80,ISRO,India,Wed Nov 27,2019,StatusActive,Success
81,Arianespace,French Guiana,Tue Nov 26,2019,StatusActive,Success
82,VKS RF,Russia,Mon Nov 25,2019,StatusActive,Success
83,CASC,China,Sat Nov 23,2019,StatusActive,Success
84,ExPace,China,Sun Nov 17,2019,StatusActive,Success
85,CASC,China,Wed Nov 13,2019,StatusActive,Success
86,ExPace,China,Wed Nov 13,2019,StatusActive,Success
87,SpaceX,USA,Mon Nov 11,2019,StatusActive,Success
88,CASC,China,Mon Nov 04,2019,StatusActive,Success
89,CASC,China,Sun Nov 03,2019,StatusActive,Success
90,Northrop,Virginia,Sat Nov 02,2019,StatusActive,Success
91,Exos,New Mexico,Sat Oct 26,2019,StatusActive,Failure
92,CASC,China,Thu Oct 17,2019,StatusActive,Success
93,Rocket Lab,New Zealand,Thu Oct 17,2019,StatusActive,Success
94,Northrop,USA,Fri Oct 11,2019,StatusActive,Success
95,ILS,Kazakhstan,Wed Oct 09,2019,StatusActive,Success
96,CASC,China,Fri Oct 04,2019,StatusActive,Success
97,VKS RF,Russia,Thu Sep 26,2019,StatusActive,Success
98,Roscosmos,Kazakhstan,Wed Sep 25,2019,StatusRetired,Success
99,CASC,China,Wed Sep 25,2019,StatusActive,Success
100,MHI,Japan,Tue Sep 24,2019,StatusRetired,Success
101,CASC,China,Sun Sep 22,2019,StatusActive,Success
102,CASC,China,Thu Sep 19,2019,StatusActive,Success
103,CASC,China,Thu Sep 12,2019,StatusActive,Success
104,ExPace,China,Fri Aug 30,2019,StatusActive,Success
105,VKS RF,Russia,Fri Aug 30,2019,StatusRetired,Success
106,ISA,Iran,Thu Aug 29,2019,StatusActive,Prelaunch Failure
107,ULA,USA,Thu Aug 22,2019,StatusRetired,Success
108,Roscosmos,Kazakhstan,Thu Aug 22,2019,StatusActive,Success
109,Rocket Lab,New Zealand,Mon Aug 19,2019,StatusActive,Success
110,CASC,China,Mon Aug 19,2019,StatusActive,Success
111,CASC,China,Sat Aug 17,2019,StatusActive,Success
112,ULA,USA,Thu Aug 08,2019,StatusActive,Success
113,SpaceX,USA,Tue Aug 06,2019,StatusActive,Success
114,Arianespace,French Guiana,Tue Aug 06,2019,StatusActive,Success
115,Roscosmos,Kazakhstan,Mon Aug 05,2019,StatusActive,Success
116,Roscosmos,Kazakhstan,Wed Jul 31,2019,StatusActive,Success
117,VKS RF,Russia,Tue Jul 30,2019,StatusActive,Success
118,CASC,China,Fri Jul 26,2019,StatusActive,Success
119,SpaceX,USA,Thu Jul 25,2019,StatusActive,Success
120,i-Space,China,Thu Jul 25,2019,StatusActive,Success
121,ISRO,India,Mon Jul 22,2019,StatusActive,Success
122,Roscosmos,Kazakhstan,Sat Jul 20,2019,StatusRetired,Success
123,Roscosmos,Kazakhstan,Sat Jul 13,2019,StatusActive,Success
124,Arianespace,French Guiana,Thu Jul 11,2019,StatusActive,Failure
125,VKS RF,Russia,Wed Jul 10,2019,StatusActive,Success
126,Roscosmos,Russia,Fri Jul 05,2019,StatusActive,Success
127,Exos,New Mexico,Sat Jun 29,2019,StatusActive,Partial Failure
128,Rocket Lab,New Zealand,Sat Jun 29,2019,StatusActive,Success
129,SpaceX,USA,Tue Jun 25,2019,StatusActive,Success
130,CASC,China,Mon Jun 24,2019,StatusActive,Success
131,Arianespace,French Guiana,Thu Jun 20,2019,StatusActive,Success
132,SpaceX,California,Wed Jun 12,2019,StatusActive,Success
134,Roscosmos,Kazakhstan,Thu May 30,2019,StatusActive,Success
135,Roscosmos,Russia,Mon May 27,2019,StatusActive,Success
136,SpaceX,USA,Fri May 24,2019,StatusActive,Success
137,CASC,China,Wed May 22,2019,StatusActive,Failure
138,ISRO,India,Wed May 22,2019,StatusActive,Success
139,CASC,China,Fri May 17,2019,StatusActive,Success
140,Rocket Lab,New Zealand,Sun May 05,2019,StatusActive,Success
141,SpaceX,USA,Sat May 04,2019,StatusActive,Success
142,Blue Origin,Texas,Thu May 02,2019,StatusActive,Success
144,CASC,China,Sat Apr 20,2019,StatusActive,Success
145,Northrop,Virginia,Wed Apr 17,2019,StatusRetired,Success
146,SpaceX,USA,Thu Apr 11,2019,StatusActive,Success
147,Arianespace,French Guiana,Thu Apr 04,2019,StatusActive,Success
148,Roscosmos,Kazakhstan,Thu Apr 04,2019,StatusActive,Success
149,ISRO,India,Mon Apr 01,2019,StatusActive,Success
150,CASC,China,Sun Mar 31,2019,StatusActive,Success
151,Rocket Lab,New Zealand,Thu Mar 28,2019,StatusActive,Success
152,OneSpace,China,Wed Mar 27,2019,StatusActive,Failure
153,Arianespace,French Guiana,Fri Mar 22,2019,StatusActive,Success
154,ULA,USA,Sat Mar 16,2019,StatusRetired,Success
155,Roscosmos,Kazakhstan,Thu Mar 14,2019,StatusRetired,Success
156,CASC,China,Sat Mar 09,2019,StatusActive,Success
157,Exos,New Mexico,Sat Mar 02,2019,StatusActive,Partial Failure
158,SpaceX,USA,Sat Mar 02,2019,StatusActive,Success
159,Arianespace,French Guiana,Wed Feb 27,2019,StatusActive,Success
160,SpaceX,USA,Fri Feb 22,2019,StatusActive,Success
161,VKS RF,Kazakhstan,Thu Feb 21,2019,StatusActive,Success
162,Arianespace,French Guiana,Tue Feb 05,2019,StatusActive,Success
163,ISA,Iran,Tue Feb 05,2019,StatusActive,Failure
164,ISRO,India,Thu Jan 24,2019,StatusActive,Success
165,Blue Origin,Texas,Wed Jan 23,2019,StatusActive,Success
166,CASC,China,Mon Jan 21,2019,StatusActive,Success
167,ULA,California,Sat Jan 19,2019,StatusActive,Success
168,JAXA,Japan,Fri Jan 18,2019,StatusActive,Success
169,ISA,Iran,Tue Jan 15,2019,StatusActive,Failure
170,SpaceX,California,Fri Jan 11,2019,StatusActive,Success
171,CASC,China,Thu Jan 10,2019,StatusActive,Success
172,CASC,China,Sat Dec 29,2018,StatusActive,Success
173,Roscosmos,Russia,Thu Dec 27,2018,StatusActive,Success
174,CASC,China,Mon Dec 24,2018,StatusActive,Success
175,SpaceX,USA,Sun Dec 23,2018,StatusActive,Success
176,CASC,China,Fri Dec 21,2018,StatusActive,Success
177,VKS RF,Kazakhstan,Fri Dec 21,2018,StatusActive,Success
178,Arianespace,French Guiana,Wed Dec 19,2018,StatusActive,Success
179,ISRO,India,Wed Dec 19,2018,StatusActive,Success
180,Rocket Lab,New Zealand,Sun Dec 16,2018,StatusActive,Success
181,CASC,China,Fri Dec 07,2018,StatusActive,Success
182,CASC,China,Fri Dec 07,2018,StatusActive,Success
183,SpaceX,USA,Wed Dec 05,2018,StatusActive,Success
184,Arianespace,French Guiana,Tue Dec 04,2018,StatusActive,Success
185,SpaceX,California,Mon Dec 03,2018,StatusActive,Success
186,Roscosmos,Kazakhstan,Mon Dec 03,2018,StatusRetired,Success
187,VKS RF,Russia,Fri Nov 30,2018,StatusRetired,Success
188,ISRO,India,Thu Nov 29,2018,StatusActive,Success
189,Arianespace,French Guiana,Wed Nov 21,2018,StatusActive,Success
190,CASC,China,Mon Nov 19,2018,StatusActive,Success
191,CASC,China,Sun Nov 18,2018,StatusActive,Success
192,Northrop,Virginia,Sat Nov 17,2018,StatusRetired,Success
193,Roscosmos,Kazakhstan,Fri Nov 16,2018,StatusRetired,Success
194,SpaceX,USA,Thu Nov 15,2018,StatusActive,Success
195,ISRO,India,Wed Nov 14,2018,StatusActive,Success
196,Rocket Lab,New Zealand,Sun Nov 11,2018,StatusActive,Success
197,Arianespace,French Guiana,Wed Nov 07,2018,StatusActive,Success
198,VKS RF,Russia,Sat Nov 03,2018,StatusActive,Success
199,CASC,China,Thu Nov 01,2018,StatusActive,Success
200,MHI,Japan,Mon Oct 29,2018,StatusActive,Success
201,CASC,China,Mon Oct 29,2018,StatusActive,Success
202,Landspace,China,Sat Oct 27,2018,StatusRetired,Failure
203,Roscosmos,Russia,Thu Oct 25,2018,StatusActive,Success
204,CASC,China,Wed Oct 24,2018,StatusActive,Success
205,Arianespace,French Guiana,Sat Oct 20,2018,StatusActive,Success
206,ULA,USA,Wed Oct 17,2018,StatusActive,Success
207,CASC,China,Mon Oct 15,2018,StatusActive,Success
208,Roscosmos,Kazakhstan,Thu Oct 11,2018,StatusRetired,Failure
209,CASC,China,Tue Oct 09,2018,StatusActive,Success
210,SpaceX,California,Mon Oct 08,2018,StatusActive,Success
211,ExPace,China,Sat Sep 29,2018,StatusActive,Success
212,Arianespace,French Guiana,Tue Sep 25,2018,StatusActive,Success
213,MHI,Japan,Sat Sep 22,2018,StatusRetired,Success
214,CASC,China,Wed Sep 19,2018,StatusActive,Success
215,ISRO,India,Sun Sep 16,2018,StatusActive,Success
216,ULA,California,Sat Sep 15,2018,StatusRetired,Success
217,SpaceX,USA,Mon Sep 10,2018,StatusActive,Success
219,Exos,New Mexico,Sat Aug 25,2018,StatusActive,Partial Failure
220,CASC,China,Fri Aug 24,2018,StatusActive,Success
221,Arianespace,French Guiana,Wed Aug 22,2018,StatusActive,Success
222,ULA,USA,Sun Aug 12,2018,StatusActive,Success
223,SpaceX,USA,Tue Aug 07,2018,StatusActive,Success
224,CASC,China,Tue Jul 31,2018,StatusActive,Success
225,CASC,China,Sun Jul 29,2018,StatusActive,Success
226,SpaceX,California,Wed Jul 25,2018,StatusActive,Success
227,Arianespace,French Guiana,Wed Jul 25,2018,StatusRetired,Success
228,SpaceX,USA,Sun Jul 22,2018,StatusActive,Success
229,Blue Origin,Texas,Wed Jul 18,2018,StatusActive,Success
230,Roscosmos,Kazakhstan,Mon Jul 09,2018,StatusActive,Success
231,CASC,China,Mon Jul 09,2018,StatusActive,Success
232,CASC,China,Mon Jul 09,2018,StatusActive,Success
233,SpaceX,USA,Fri Jun 29,2018,StatusRetired,Success
234,CASC,China,Wed Jun 27,2018,StatusActive,Success
235,VKS RF,Russia,Sat Jun 16,2018,StatusActive,Success
236,MHI,Japan,Tue Jun 12,2018,StatusActive,Success
237,Roscosmos,Kazakhstan,Wed Jun 06,2018,StatusRetired,Success
238,CASC,China,Tue Jun 05,2018,StatusActive,Success
239,SpaceX,USA,Mon Jun 04,2018,StatusRetired,Success
240,CASC,China,Sat Jun 02,2018,StatusActive,Success
241,SpaceX,California,Tue May 22,2018,StatusRetired,Success
242,Northrop,Virginia,Mon May 21,2018,StatusRetired,Success
243,CASC,China,Sun May 20,2018,StatusActive,Success
244,SpaceX,USA,Fri May 11,2018,StatusActive,Success
245,CASC,China,Tue May 08,2018,StatusActive,Success
246,ULA,California,Sat May 05,2018,StatusActive,Success
247,CASC,China,Thu May 03,2018,StatusActive,Success
248,Blue Origin,Texas,Sun Apr 29,2018,StatusActive,Success
249,CASC,China,Thu Apr 26,2018,StatusActive,Success
250,Eurockot,Russia,Wed Apr 25,2018,StatusRetired,Success
251,SpaceX,USA,Wed Apr 18,2018,StatusRetired,Success
252,VKS RF,Kazakhstan,Wed Apr 18,2018,StatusActive,Success
253,ULA,USA,Sat Apr 14,2018,StatusActive,Success
